assetId,profileId,gender,numericId,identityScope,isReserve,reserveStatus,activeForTarget,identityDecision,shotType,targetFaceType,targetLooksLevel,targetLooksLevelBand,status,localPath,finalPath,approvedPath,rejectedPath,expectedRawPath,expectedFinalPath,expectedApprovedPath,expectedRejectedPath,storagePath,legacyStoragePath,model,size,quality,outputFormat,promptHash,referenceAssetId,referenceLocalPath,resolvedReferencePath,attempt,attemptCount,dryRun,updatedAt,error
male_076__face_card__v001,male_076,male,,production,False,,True,,face_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__face_card__v001__attempt01.png,ai_profiles/male/076/face_card.png,ai_profiles/male/076.png,codex-built-in-imagegen,1024x1536,high,png,7f583a3a275619e71077fb7c,,,,,0,False,2026-05-10T14:25:21+00:00,missing_image
male_076__silhouette_card__v001,male_076,male,,production,False,,True,,silhouette_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__silhouette_card__v001__attempt01.png,ai_profiles/male/076/silhouette_card.png,ai_profiles/male/076.png,codex-built-in-imagegen,1024x1536,high,png,18920ed2fec299386ea9c231,male_076__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,,0,False,2026-05-10T12:28:48+00:00,missing_image
male_076__vibe_card__v001,male_076,male,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_076__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_076__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_076__vibe_card__v001__attempt01.png,ai_profiles/male/076/vibe_card.png,ai_profiles/male/076.png,codex-built-in-imagegen,1024x1536,high,png,0b91c97c946df7cbdafdb877,male_076__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/076/face_card.png,,0,False,2026-05-06T23:01:12+00:00,
male_077__face_card__v001,male_077,male,,production,False,,True,,face_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__face_card__v001__attempt01.png,ai_profiles/male/077/face_card.png,ai_profiles/male/077.png,codex-built-in-imagegen,1024x1536,high,png,2004833df6794e33114faa4c,,,,,0,False,2026-05-10T14:25:21+00:00,missing_image
male_077__silhouette_card__v001,male_077,male,,production,False,,True,,silhouette_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__silhouette_card__v001__attempt01.png,ai_profiles/male/077/silhouette_card.png,ai_profiles/male/077.png,codex-built-in-imagegen,1024x1536,high,png,d6953aae8b50ac695ba87d8b,male_077__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,,0,False,2026-05-10T12:28:48+00:00,missing_image
male_077__vibe_card__v001,male_077,male,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_077__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_077__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_077__vibe_card__v001__attempt01.png,ai_profiles/male/077/vibe_card.png,ai_profiles/male/077.png,codex-built-in-imagegen,1024x1536,high,png,ca4591bad14cd462bc971f20,male_077__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/077/face_card.png,,0,False,2026-05-06T23:01:12+00:00,
male_078__face_card__v001,male_078,male,,production,False,,True,,face_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__face_card__v001__attempt01.png,ai_profiles/male/078/face_card.png,ai_profiles/male/078.png,codex-built-in-imagegen,1024x1536,high,png,853a82f9aa5af6fb7341381a,,,,,0,False,2026-05-10T14:25:21+00:00,missing_image
male_078__silhouette_card__v001,male_078,male,,production,False,,True,,silhouette_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__silhouette_card__v001__attempt01.png,ai_profiles/male/078/silhouette_card.png,ai_profiles/male/078.png,codex-built-in-imagegen,1024x1536,high,png,7a00078629ef40dbcaeb440c,male_078__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,,0,False,2026-05-10T12:28:48+00:00,missing_image
male_078__vibe_card__v001,male_078,male,,production,False,,True,,vibe_card,,,,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_078__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_078__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_078__vibe_card__v001__attempt01.png,ai_profiles/male/078/vibe_card.png,ai_profiles/male/078.png,codex-built-in-imagegen,1024x1536,high,png,2a7d6ec9715b56d984f18ea5,male_078__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/078/face_card.png,,0,False,2026-05-06T23:01:12+00:00,
male_079__face_card__v001,male_079,male,,production,False,,True,,face_card,,,,missing,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_079__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/079/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_079__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_079__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/raw/male_079__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/male/079/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/approved/male_079__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/rejected/male_079__face_card__v001__attempt01.png,ai_profiles/male/079/face_card.png,ai_profiles/male/079.png,codex-built-in-imagegen,1024x1536,high,png,43ada2afd79ca2e6d2b29fcc,,,,,0,False,2026-05-10T14:25:21+00:00,missing_image
