assetId,profileId,gender,identityScope,isReserve,reserveStatus,activeForTarget,identityDecision,shotType,status,localPath,finalPath,approvedPath,rejectedPath,expectedRawPath,expectedFinalPath,expectedApprovedPath,expectedRejectedPath,storagePath,legacyStoragePath,model,size,quality,outputFormat,promptHash,referenceAssetId,referenceLocalPath,resolvedReferencePath,attemptCount,dryRun,updatedAt,error
female_001__face_card__v001,female_001,female,production,False,,True,,face_card,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__face_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__face_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__face_card__v001__attempt01.png,ai_profiles/female/001/face_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,abcc029d6a8a396abbc8dfe1,,,,0,True,2026-05-06T21:59:23+00:00,
female_001__silhouette_card__v001,female_001,female,production,False,,True,,silhouette_card,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__silhouette_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/silhouette_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__silhouette_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__silhouette_card__v001__attempt01.png,ai_profiles/female/001/silhouette_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,2e5e11e1be89d8358772b822,female_001__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,0,True,2026-05-06T21:59:23+00:00,
female_001__vibe_card__v001,female_001,female,production,False,,True,,vibe_card,prepared,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/raw/female_001__vibe_card__v001__attempt01.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/vibe_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/approved/female_001__vibe_card__v001.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/rejected/female_001__vibe_card__v001__attempt01.png,ai_profiles/female/001/vibe_card.png,ai_profiles/female/001.png,codex-built-in-imagegen,1024x1536,high,png,edd49077769ba47d9497e5aa,female_001__face_card__v001,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,C:/Users/samsung/StudioProjects/semisemifinal/ai_image/dry_run_workspace/ai_image/female/001/face_card.png,0,True,2026-05-06T21:59:23+00:00,
